country	country-wrong
http://dbpedia.org/resource/Jersey	http://dbpedia.org/resource/Arbúcies
http://dbpedia.org/resource/Upper_Canada	http://de.dbpedia.org/resource/Tournai
http://de.dbpedia.org/resource/Gibraltar	http://de.dbpedia.org/resource/Langenthal
http://dbpedia.org/resource/Nauru	http://de.dbpedia.org/resource/Département_Maine-et-Loire
http://dbpedia.org/resource/Uganda	http://de.dbpedia.org/resource/Uelzen
http://de.dbpedia.org/resource/Mosambik	http://dbpedia.org/resource/Ecuador
http://de.dbpedia.org/resource/Philippinen	http://de.dbpedia.org/resource/Winston-Salem
http://dbpedia.org/resource/New_Zealand	http://de.dbpedia.org/resource/Leipzig
http://dbpedia.org/resource/Myanmar	http://de.dbpedia.org/resource/Givisiez
http://dbpedia.org/resource/British_Empire	http://de.dbpedia.org/resource/London_(Ontario)
http://de.dbpedia.org/resource/Nauru	http://de.dbpedia.org/resource/Lübeck
http://de.dbpedia.org/resource/Schweden	http://de.dbpedia.org/resource/Ungarn
http://de.dbpedia.org/resource/England	http://de.dbpedia.org/resource/Ludwigsburg
http://dbpedia.org/resource/Gabon	http://dbpedia.org/resource/Igny,_Essonne
http://dbpedia.org/resource/Malta	http://de.dbpedia.org/resource/Bubikon
http://dbpedia.org/resource/Namibia	http://de.dbpedia.org/resource/West_Chester_(Pennsylvania)
http://dbpedia.org/resource/Bahrain	http://de.dbpedia.org/resource/Stansted
http://dbpedia.org/resource/Equatorial_Guinea	http://de.dbpedia.org/resource/Bielstein_(Wiehl)
http://dbpedia.org/resource/Fiji	http://de.dbpedia.org/resource/Rottach-Egern
http://dbpedia.org/resource/Swaziland	http://dbpedia.org/resource/Apples,_Vaud
http://dbpedia.org/resource/Honduras	http://dbpedia.org/resource/Surrey
http://dbpedia.org/resource/Venezuela	http://dbpedia.org/resource/São_Tomé
http://dbpedia.org/resource/Guernsey	http://dbpedia.org/resource/Iraq
http://dbpedia.org/resource/Sweden	http://dbpedia.org/resource/Mexico_(disambiguation)
http://de.dbpedia.org/resource/Kasachstan	http://de.dbpedia.org/resource/Hamamatsu
http://dbpedia.org/resource/Australia	http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Uzbekistan	http://de.dbpedia.org/resource/Gerolstein
http://de.dbpedia.org/resource/Marshallinseln	http://de.dbpedia.org/resource/Hürth
http://dbpedia.org/resource/Vanuatu	http://dbpedia.org/resource/Immenstaad_am_Bodensee
http://dbpedia.org/resource/Aruba	http://de.dbpedia.org/resource/Hyannis
http://de.dbpedia.org/resource/Schottland	http://de.dbpedia.org/resource/Kuwait-Stadt
http://dbpedia.org/resource/Malawi	http://dbpedia.org/resource/Kawasaki,_Kanagawa
http://dbpedia.org/resource/Samoa	http://de.dbpedia.org/resource/Oetwil_am_See
http://dbpedia.org/resource/Sierra_Leone	http://dbpedia.org/resource/Kazakhstan
http://dbpedia.org/resource/Niger	http://de.dbpedia.org/resource/Boudry
http://dbpedia.org/resource/Principality_of_Sealand	http://de.dbpedia.org/resource/Jablonec_nad_Nisou
http://de.dbpedia.org/resource/Sambia	http://dbpedia.org/resource/Merenberg
http://de.dbpedia.org/resource/Kosovo	http://de.dbpedia.org/resource/Maui
http://dbpedia.org/resource/Dutch_Republic	http://dbpedia.org/resource/Mytishchi
http://dbpedia.org/resource/Costa_Rica	http://de.dbpedia.org/resource/Königstein_im_Taunus
http://de.dbpedia.org/resource/Usbekistan	http://de.dbpedia.org/resource/Davos
http://dbpedia.org/resource/Cambodia	http://de.dbpedia.org/resource/Suwanee_(Georgia)
http://de.dbpedia.org/resource/Vietnam	http://de.dbpedia.org/resource/Madang
http://dbpedia.org/resource/Southern_Rhodesia	http://de.dbpedia.org/resource/Amsdorf
http://dbpedia.org/resource/Southeast_Asia	http://de.dbpedia.org/resource/La_Paz_(Baja_California_Sur)
http://dbpedia.org/resource/Suriname	http://dbpedia.org/resource/Omaha,_Nebraska
	http://dbpedia.org/resource/Vieques,_Puerto_Rico
	http://de.dbpedia.org/resource/Matsudo
	http://dbpedia.org/resource/Rüsselsheim_am_Main
	http://dbpedia.org/resource/Providenciales
	http://de.dbpedia.org/resource/Dierikon
	http://de.dbpedia.org/resource/Saitama
	http://de.dbpedia.org/resource/Bocholt
	http://dbpedia.org/resource/Aurich
	http://de.dbpedia.org/resource/Hof_(Saale)
